title,price,release_year,release_month,rating,required_age,is_multiplayer
"The Cat Lady",9.99,2013,12,81,0,0
"Star Conflict",0,2013,2,75,0,1
"Inside My Radio",14.99,2015,5,68,0,0
VVVVVV,4.99,2010,9,81,0,0
"Clan of Champions",39.99,2012,10,42,18,1
"Dirty Bomb®",0,2015,6,63,0,1
"Read Only Memories",19.99,2015,10,80,0,0
Sunset,19.99,2015,5,66,0,0
"Max Payne",9.99,2008,1,89,17,0
"Genesis Rising",4.99,2007,8,57,0,1
"AI War: Fleet Command",9.99,2009,10,80,0,1
"Back to the Future: The Game",19.99,2010,12,74,0,0
"Sonic the Hedgehog 4 - Episode II",14.99,2012,5,54,0,0
"Eschalon: Book I",5.99,2009,2,75,0,0
Homesick,14.99,2015,5,72,0,0
"The Stanley Parable",14.99,2013,10,88,0,0
"Karmaflow: The Rock Opera Videogame - Act I & Act II",4.99,2015,5,47,0,0
"Darkstar One",7.99,2008,2,71,0,0
"RACE Injection",12.99,2011,11,72,0,1
"Cross of the Dutchman",8.99,2015,9,59,0,0
"Penumbra: Requiem",0,1970,1,67,0,0
"Face Noir",9.99,2013,10,59,0,0
"Grey Goo",29.99,2015,1,77,0,1
"Legends of Eisenwald",19.99,2015,7,71,0,0
"Call of Duty®: Modern Warfare® 2",19.99,2009,11,86,0,1
UnEpic,12.99,2014,7,68,16,1
"WRC 5 FIA World Rally Championship",39.99,2015,10,65,0,1
Vessel,19.99,2012,3,81,0,0
Obscuritas,19.99,2016,3,63,0,0
"Shadow Blade: Reload",14.99,2015,8,70,0,0
"Tom Clancy's Splinter Cell Chaos Theory®",9.99,2009,8,92,0,1
"Red Faction II",9.99,2009,8,64,0,0
"World In Conflict",9.99,2008,12,89,0,1
Windforge,9.99,2014,3,53,0,0
"Strike Vector",11.99,2014,1,73,0,1
"Super MNC",0,2012,4,76,0,1
"The Incredible Adventures of Van Helsing",14.99,2013,5,72,0,1
Spellweaver,0,2016,2,61,0,1
Dinocide,9.99,2016,1,51,0,0
"Zombie Army Trilogy",44.99,2015,3,72,0,0
"Sniper Elite: Nazi Zombie Army",14.99,2013,2,62,0,0
PONCHO,14.99,2015,11,62,0,0
"Galactic Civilizations® I: Ultimate Edition",9.99,2012,8,83,0,0
"Final Exam",9.99,2013,11,66,0,1
"Freedom Force",4.99,2009,5,90,0,1
"Lost Planet™: Extreme Condition",14.99,2007,6,66,0,1
"Thrillville®: Off the Rails™",9.99,2009,7,70,0,0
"Company of Heroes 2 - The British Forces",12.99,2015,9,80,17,1
"Penumbra Overture",9.99,2009,3,73,17,0
"Chaos Reborn",19.99,2015,10,85,0,1
NecroVision,4.99,2009,5,63,0,1
"Civilization IV: Beyond the Sword",9.99,2007,7,86,0,0
Kromaia,19.99,2014,10,68,0,0
"Galactic Civilizations® II: Ultimate Edition",19.99,2011,12,92,0,0
Oblitus,14.99,2015,2,69,0,0
"Super Meat Boy",14.99,2010,11,87,0,0
"DC Universe™ Online",0,2011,11,72,0,1
"Age of Wonders Shadow Magic",9.99,2010,10,82,0,1
"Impossible Creatures Steam Edition",9.99,2015,11,72,0,1
"Tower of Guns",14.99,2014,3,76,0,0
Shatter,9.99,2010,3,84,0,0
"Perimeter: Emperor's Testament",3.99,2014,5,72,0,1
Demigod,9.99,2011,12,76,0,1
"Dracula Origin",9.99,2008,8,70,0,0
Lucius,9.99,2012,10,59,18,0
Outlast,19.99,2013,9,80,0,0
"Guild Wars: Eye of the North®",19.99,2010,10,79,0,1
"Half-Life 2: Episode Two",7.99,2007,10,90,0,0
"Duke Nukem Forever",19.99,2011,6,54,17,1
"A Bird Story",4.99,2014,11,66,0,0
"Command & Conquer 3: Kane's Wrath",19.99,2009,11,77,0,1
"Medieval II: Total War™",19.99,2007,11,88,0,1
Zenzizenzic,9.99,2015,7,85,0,0
"Call of Juarez® Gunslinger",14.99,2013,5,79,18,0
"Battlefleet Gothic: Armada",39.99,2016,4,78,0,1
"Guild Wars Factions<sup>®</sup>",19.99,2009,4,84,0,1
"LEGO® Indiana Jones™ 2: The Adventure Continues",19.99,2010,2,66,0,0
Harold,9.99,2015,2,70,0,0
"Fallout Tactics: Brotherhood of Steel",9.99,2009,8,82,16,1
"Deponia Doomsday",29.99,2016,3,77,0,0
CLANNAD,49.99,2015,11,83,0,0
"Blades of Time",9.99,2012,4,63,17,1
"King's Bounty: Armored Princess",9.99,2009,11,82,0,0
"Railroad Pioneer",4.99,2014,7,50,0,1
"King's Bounty: Warriors of the North",12.99,2012,10,74,0,0
Breakneck,4.99,2016,2,76,0,0
"Project CARS",29.99,2015,5,83,0,1
"Neverending Nightmares",14.99,2014,9,68,0,0
"FINAL FANTASY® XIV: A Realm Reborn™",19.99,2014,2,83,0,1
"Analogue: A Hate Story",9.99,2012,4,62,0,0
Ziggurat,14.99,2014,10,76,0,0
"King Arthur: Fallen Champions",4.99,2011,9,54,0,0
"Gremlins, Inc.",14.99,2016,3,73,0,1
"Nancy Drew®: The Creature of Kapu Cave",6.99,2009,7,68,0,0
"Back to the Future: The Game",19.99,2010,12,74,0,0
Cloudbuilt,19.99,2014,3,72,0,0
"X: Beyond the Frontier",4.99,2010,10,67,0,0
"Castle In The Darkness",9.99,2015,2,76,0,0
"Lords of Xulima",19.99,2014,11,71,0,0
"Alien: Isolation",49.99,2014,10,81,16,0
"S.T.A.L.K.E.R.: Clear Sky",9.99,2008,9,75,0,1
"Space Hulk Ascension",29.99,2014,11,72,0,0
"Grand Theft Auto: San Andreas",14.99,2011,1,93,17,0
Stacking,9.99,2012,3,80,0,0
"Rayman® Origins",19.99,2012,3,86,0,0
"Making History II: The War of the World",14.99,2010,8,38,0,1
Memoria,49.99,2013,8,79,0,0
"Jagged Alliance: Crossfire",19.99,2012,8,63,0,0
"Painkiller Redemption",4.99,2011,2,43,0,0
"Chess 2: The Sequel",9.99,2014,8,62,0,1
"Risen 3 - Titan Lords",19.99,2014,8,65,17,0
"Sid Meier's Starships",14.99,2015,3,64,0,0
"Sorcerer King",24.99,2015,7,75,0,0
"There Came an Echo",14.99,2015,2,58,0,0
"Ghost Pirates of Vooju Island",9.99,2015,1,66,0,0
"Bookworm™ Adventures Volume 2",4.99,2009,7,79,0,0
Platformines,9.99,2014,3,67,0,0
"Dangerous High School Girls in Trouble!™",19.99,2009,2,81,0,0
"Far Cry 3",19.99,2012,12,88,17,1
"The First Templar - Steam Special Edition",19.99,2011,5,57,0,1
"Assassin's Creed™: Director's Cut Edition",19.99,2008,4,79,17,0
"King's Bounty: The Legend",6.99,2009,5,79,0,0
Evoland,9.99,2013,4,61,0,0
NightCry,24.99,2016,3,53,0,0
"Vertical Drop Heroes HD",6.99,2014,7,70,0,1
"Frozen Hearth",17.99,2013,12,46,0,1
"Ground Control Anthology",4.99,2015,7,86,0,1
"Warlock - Master of the Arcane",24.99,2012,5,71,0,1
"Fate of the World",9.99,2011,2,70,0,0
"Blood II: The Chosen + Expansion",4.99,2014,7,72,17,0
"Natural Selection 2",9.99,2012,10,80,0,1
Helldorado,9.99,2009,4,65,0,0
"Meridian: New World",6.99,2014,9,43,0,0
"Homeworld: Deserts of Kharak",49.99,2016,1,79,0,1
"Shovel Knight",14.99,2014,6,85,0,0
"Ashes of the Singularity",44.99,2016,3,68,0,1
"Theatre of War",3.99,2010,7,66,0,1
Gomo,4.99,2013,12,50,0,0
"Carmageddon: Reincarnation",29.99,2015,5,54,18,1
"Axiom Verge",19.99,2015,5,80,0,0
"Cannon Fodder 3",14.99,2012,8,49,0,0
"Tony Tough and the Night of Roasted Moths",9.99,2015,5,68,0,0
"STRIDER™ / ????????®",14.99,2014,2,78,0,0
"Keep Talking and Nobody Explodes",14.99,2015,10,67,0,0
"Men of War: Condemned Heroes",7.99,2012,4,57,0,1
"Iron Brigade",14.99,2012,8,75,0,1
Element4l,8.99,2013,5,77,0,0
"Still Life 2",7.99,2011,6,67,17,0
"Disciples II: Gallean's Return",6.49,2006,7,84,0,1
Astebreed,14.99,2014,5,86,0,0
"Penumbra: Black Plague Gold Edition",9.99,2009,1,78,17,0
"Infinity Runner",6.99,2014,7,56,0,1
DeathSpank,14.99,2010,10,77,0,0
"YAIBA: NINJA GAIDEN Z",29.99,2014,3,49,0,0
"Brutal Legend",14.99,2013,2,80,0,1
"Strong Bad's Cool Game for Attractive People: Season 1",19.99,2008,12,82,0,0
"Whispering Willows",9.99,2014,7,64,0,0
"YOU DON’T KNOW JACK®",0,2011,2,71,0,0
Minimum,9.99,2014,9,69,0,1
"Chronicles of Mystery: The Scorpio Ritual",4.99,2009,6,62,0,0
nail'd,4.99,2010,11,69,0,0
"Hitman: Absolution™",19.99,2012,11,79,17,0
DeadCore,9.99,2014,10,78,0,0
"BioShock® 2",19.99,2010,2,88,17,1
"Pier Solar and the Great Architects",14.99,2014,9,73,0,1
"Shadow Ops: Red Mercury",6.99,2014,7,61,13,1
"The Banner Saga: Factions",0,2013,2,67,0,1
"Heroes of Normandie",29.99,2015,10,65,0,1
"Castlevania: Lords of Shadow 2",39.99,2014,2,58,17,0
"Bloody Good Time",4.99,2010,10,73,0,1
"Warhammer 40,000: Space Marine",29.99,2011,9,74,17,1
Outland,9.99,2014,9,83,0,0
"F.E.A.R. 3",19.99,2011,6,74,17,1
"Gabriel Knight: Sins of the Fathers 20th Anniversary Edition",19.99,2014,10,74,0,0
"Dark Messiah of Might & Magic",9.99,2006,10,72,17,1
"In Between",11.99,2015,8,68,0,0
"Ace Combat Assault Horizon - Enhanced Edition",19.99,2013,1,77,0,1
"IL-2 Sturmovik: 1946",9.99,2008,6,86,0,1
"Endless Legend™",29.99,2014,9,82,0,1
Antichamber,19.99,2013,1,82,0,0
"QUAKE III: Team Arena",19.99,2007,8,69,0,1
"The Great Escape",3.99,2016,1,54,0,0
"Hard West",19.99,2015,11,73,0,0
Kalimba,9.99,2015,4,81,0,0
"The Lord of the Rings Online",0,2012,6,86,0,0
"Evochron Mercenary",19.99,2012,1,70,0,1
"Always Sometimes Monsters",9.99,2014,5,73,0,0
"Deus Ex: Human Revolution - Director's Cut",19.99,2013,10,91,17,0
DreadOut,14.99,2014,5,55,0,0
"COAST GUARD",19.99,2015,10,47,0,0
"War of the Vikings",24.99,2014,4,62,0,1
"Half-Life: Blue Shift",4.99,2001,6,71,0,0
"The Sum of All Fears",9.99,2008,10,72,0,1
"Avernum: Escape From the Pit",9.99,2012,4,76,0,0
"The Bridge",9.99,2013,2,74,0,0
"Ghostbusters: The Videogame",9.99,2009,6,74,0,0
"Panzer Tactics HD",9.99,2014,5,69,0,0
SOMA,29.99,2015,9,84,17,0
"Before the Echo",4.99,2011,10,70,0,0
Hexodius,9.99,2013,6,47,0,0
"Post Apocalyptic Mayhem",9.99,2011,3,44,0,1
"Hotel Giant 2",7.99,2010,1,58,0,0
"The Witness",39.99,2016,1,87,0,0
Trauma,6.99,2011,8,62,0,0
140,4.99,2013,10,80,0,0
Tharsis,14.99,2016,1,61,0,0
"UFO: Afterlight",6.99,2014,1,71,0,0
"Alan Wake's American Nightmare",9.99,2012,5,73,0,0
"Dungeon Hearts",2.99,2013,3,73,0,0
"The Bug Butcher",7.99,2016,1,81,0,0
"American Truck Simulator",19.99,2016,2,76,0,0
"Space Hulk",24.99,2013,8,58,0,1
Mushihimesama,19.99,2015,11,86,0,0
"Bientôt l'été",9.99,2013,2,62,0,1
"Lost Planet: Extreme Condition Colonies Edition",19.99,2010,2,70,0,1
"Leap of Fate",15.99,2016,3,79,0,0
BRINK,19.99,2011,5,70,0,1
"Gone Home",19.99,2013,8,86,0,0
"15 Days",9.99,2015,4,63,0,0
"Angry Video Game Nerd Adventures",9.99,2013,9,77,0,0
Braid,14.99,2009,4,90,0,0
"Tomb Raider: Underworld",8.99,2008,11,80,0,0
Transistor,19.99,2014,5,83,0,0
Confrontation,19.99,2012,4,51,0,1
"DOOM II",4.99,2007,8,83,0,1
Prototype™,19.99,2009,6,79,17,0
"LEGO® Marvel™ Super Heroes",19.99,2013,10,78,0,0
"Jade Empire™: Special Edition",14.99,2007,2,81,0,0
"Dino D-Day",9.99,2011,4,53,0,1
Home,2.99,2012,8,69,0,0
"Cities in Motion 2",19.99,2013,4,72,0,1
La-Mulana,14.99,2013,4,80,0,0
"Need For Speed: Hot Pursuit",19.99,2010,12,86,0,1
"Dungelot: Shattered Lands",9.99,2016,2,78,0,0
"Lost Horizon 2",19.99,2015,10,60,0,0
Concursion,4.99,2014,6,66,0,0
Penarium,9.99,2015,9,80,0,0
"Magnetic: Cage Closed",14.99,2015,5,61,0,0
"Richard & Alice",5.99,2014,6,70,0,0
"Train Valley",9.99,2015,9,69,0,0
"Watchmen: The End is Nigh",4.99,2009,3,61,17,1
"Nostradamus: The Last Prophecy",4.99,2014,4,70,0,0
"Kane & Lynch 2: Dog Days",9.99,2010,8,66,17,1
"Call of Duty® 2",19.99,2006,10,86,0,1
Capsized,9.99,2011,4,80,0,0
Firefall,0,2014,7,60,0,1
"Europa Universalis III: Divine Wind",9.99,2011,1,71,0,1
"Doc Clock: The Toasted Sandwich of Time",4.99,2010,10,62,0,0
"Stick it to The Man!",14.99,2013,12,83,0,0
"Riven: The Sequel to MYST",5.99,2010,8,83,0,0
"Between Me and The Night",14.99,2016,1,62,0,0
"Monaco: What's Yours Is Mine",14.99,2013,4,83,0,1
"Maelstrom: The Battle for Earth Begins",4.99,2009,2,58,0,0
"Battle Academy 2: Eastern Front",39.99,2014,9,78,0,1
"Hyperdimension Neptunia Re;Birth1",29.99,2015,1,72,0,0
"The Castle Doctrine",15.99,2014,1,58,0,1
"Trapped Dead",4.99,2011,7,50,0,1
"Sniper Elite",9.99,2009,7,76,0,0
Portal,9.99,2007,10,90,0,0
"Zeno Clash",9.99,2009,4,77,0,0
CastleStorm,9.99,2013,7,73,0,1
Contrast,14.99,2013,11,62,0,0
"Call of Duty®: Advanced Warfare - Gold Edition",59.99,2014,11,78,17,1
"The Blackwell Legacy",4.99,2012,1,80,0,0
Jotun,14.99,2015,9,79,0,0
"Secret Files 2: Puritas Cordis",9.99,2009,10,64,0,0
"Constant C",9.99,2014,3,60,0,0
"Her Story",5.99,2015,6,86,0,0
"Obscure II (Obscure: The Aftermath)",9.99,2014,3,59,0,0
"Endless Space® - Emperor Edition",29.99,2012,7,77,0,1
"Big Pharma",24.99,2015,8,72,0,0
"Hitman: Codename 47",6.99,2007,3,73,17,0
"AR-K: The Great Escape",7.99,2015,7,78,0,0
"System Shock: Enhanced Edition",9.99,2015,10,85,0,0
"Dungeons of Dredmor",4.99,2011,7,79,0,0
Skullgirls,9.99,2013,8,83,0,1
"The Inner World",14.99,2013,9,72,0,0
"Offworld Trading Company",39.99,2016,4,84,0,1
"Anno 2070™",19.99,2011,11,83,0,1
Pressure,7.99,2013,3,64,0,1
"Legacy of Kain: Soul Reaver 2",6.99,2012,12,77,17,0
"Ys Origin",19.99,2012,5,76,0,0
"AaAaAA!!! - A Reckless Disregard for Gravity",9.99,2009,9,81,0,0
"Alone in the Dark",9.99,2013,10,55,17,0
"Call of Duty®: Ghosts",59.99,2014,3,68,17,1
"GRID Autosport",39.99,2014,6,78,0,1
"Total War™: ROME II - Emperor Edition",59.95,2013,9,76,0,1
"Unreal Tournament 3 Black",19.99,2009,3,83,17,1
APOX,14.99,2011,1,48,0,1
"Dark Fall: The Journal",4.99,2013,12,68,0,0
"Fortix 2",1.99,2011,5,74,0,0
"The Golf Club",29.99,2014,8,70,0,1
